INSTITUCIÓN EDUCATIVA;NIVEL_MCER;IDIOMA;FECHA
Baltazar Salazar;A2;Ingles;2017
Baltazar Salazar;A2;Ingles;2017
Baltazar Salazar;A1;Ingles;2017
Domingo Savio;A1;Ingles;2017
Antonio Donado Camacho;A2;Ingles;2017
Escuela Normal Superior de María;A2;Ingles;2017
La Mosquita;A1;Ingles;2017
Santa Barbara;A1;Ingles;2017
Escuela Normal Superior de María;A2;Ingles;2017
Guillermo Gaviria Correa;A1;Ingles;2017
Escuela Normal Superior de María;A1;Ingles;2017
Baltazar Salazar;A1;Ingles;2017
Ana Gómez de Sierra;A1;Ingles;2017
Escuela Normal Superior de María;A2;Ingles;2017
Josefina Muñoz González;A1;Ingles;2017
Antonio Donado Camacho;A2;Ingles;2017
Santa Barbara;A1;Ingles;2017
José María Córdoba;A2;Ingles;2017
Josefina Muñoz González;A2;Ingles;2017
Baltazar Salazar;A2;Ingles;2017
Josefina Muñoz González;A1;Ingles;2017
Josefina Muñoz González;A1;Ingles;2017
José María Córdoba;A2;Ingles;2017
Técnico Industrial Santiago de Arma;A2;Ingles;2017
Técnico Industrial Santiago de Arma;A1;Ingles;2017
San Jose de Las Cuchillas;A1;Ingles;2017
Antonio Donado Camacho;A1;Ingles;2017
Antonio Donado Camacho;A2;Ingles;2017
Técnico Industrial Santiago de Arma;A1;Ingles;2017
Josefina Muñoz González;A2;Ingles;2017
Ana Gómez de Sierra;A1;Ingles;2017
Santa Barbara;A1;Ingles;2017
Domingo Savio;A1;Ingles;2017
Ana Gómez de Sierra;A1;Ingles;2017
Domingo Savio;A1;Ingles;2017
Guillermo Gaviria Correa;A1;Ingles;2017
Ana Gómez de Sierra;A1;Ingles;2017
Guillermo Gaviria Correa;A2;Ingles;2017
José María Córdoba;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
La Mosquita;A1;Ingles;2016
Barro Blanco;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Antonio Donado Camacho;A1;Ingles;2016
San Antonio;A1;Ingles;2016
Antonio Donado Camacho;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Escuela Normal Superior de María;A1;Ingles;2016
Barro Blanco;A2;Ingles;2016
Gilberto Echeverri Mejía;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
La Mosquita;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Concejo Municipal El Porvenir;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Barro Blanco;A1;Ingles;2016
José María Córdoba;A1;Ingles;2016
Ana Gómez de Sierra;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Concejo Municipal El Porvenir;A1;Ingles;2016
Gilberto Echeverri Mejía;A1;Ingles;2016
Concejo Municipal El Porvenir;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Guillermo Gaviria Correa;A1;Ingles;2016
San Jose de Las Cuchillas;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
San Jose de Las Cuchillas;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Barro Blanco;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Escuela Normal Superior de María;A1;Ingles;2016
José María Córdoba;A1;Ingles;2016
Concejo Municipal El Porvenir;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
La Mosquita;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Escuela Normal Superior de María;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
San Antonio;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Baltazar Salazar;A1;Ingles;2016
Domingo Savio;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
Guillermo Gaviria Correa;A1;Ingles;2016
Ana Gómez de Sierra;A1;Ingles;2016
Escuela Normal Superior de María;A1;Ingles;2016
Antonio Donado Camacho;A1;Ingles;2016
José María Córdoba;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
José María Córdoba;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
La Mosquita;A1;Ingles;2016
Técnico Industrial Santiago de Arma;A1;Ingles;2016
Antonio Donado Camacho;A1;Ingles;2016
La Mosquita;A1;Ingles;2016
Josefina Muñoz González;A1;Ingles;2016
Ana Gómez de Sierra;A1;Ingles;2016
Santa Barbara;A1;Ingles;2016
San Jose de Las Cuchillas;A1;Ingles;2016
Guillermo Gaviria Correa;A1;Ingles;2016
